COUNTY,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01009,35976,GUNTERSVILLE,AL,0.010459345,0.003250975,0.014018692,0.010160378
01009,35133,REMLAP,AL,0.066653343,0.033159948,0.042056075,0.064713790
01009,35146,SPRINGVILLE,AL,0.015389228,0.002600780,0.000000000,0.014568418
01009,35126,PINSON,AL,0.008127644,0.004551365,0.000000000,0.007846938
01009,35063,EMPIRE,AL,0.009360115,0.003250975,0.007009346,0.009034920
01009,35077,HANCEVILLE,AL,0.000066620,0.000000000,0.000000000,0.000062525
01009,35016,ARAB,AL,0.005895873,0.002600780,0.000000000,0.005658549
01009,35049,CLEVELAND,AL,0.067252923,0.058517555,0.016355140,0.066151874
01009,35957,BOAZ,AL,0.008127644,0.001950585,0.004672897,0.007784412
01009,35172,TRAFFORD,AL,0.038872789,0.022106632,0.039719626,0.038077969
01009,35031,BLOUNTSVILLE,AL,0.142267080,0.089076723,0.149532710,0.139806797
01009,35013,ALLGOOD,AL,0.000000000,0.000650195,0.000000000,0.000031263
01009,35180,WARRIOR,AL,0.097598348,0.082574772,0.193925234,0.098164879
01009,35097,LOCUST FORK,AL,0.027647314,0.038361508,0.018691589,0.028042642
01009,35952,ALTOONA,AL,0.058225909,0.071521456,0.028037383,0.058461250
01011,36052,MATHEWS,AL,0.004879690,0.005859375,0.000000000,0.004926867
01011,36005,BANKS,AL,0.061585058,0.035156250,0.000000000,0.059122402
01011,36081,TROY,AL,0.036850076,0.007812500,0.000000000,0.034334103
01011,36053,MIDWAY,AL,0.140669695,0.054687500,0.175000000,0.134103156
01011,36029,FITZPATRICK,AL,0.068652196,0.029296875,0.000000000,0.065127021
01011,36860,HURTSBORO,AL,0.006394077,0.005859375,0.000000000,0.006312548
01011,36089,UNION SPRINGS,AL,0.680632677,0.859375000,0.825000000,0.695612009
01011,36031,FORT DAVIS,AL,0.000000000,0.001953125,0.000000000,0.000153965
01011,36830,AUBURN,AL,0.000336530,0.000000000,0.000000000,0.000307929
01013,36071,RUTLEDGE,AL,0.003630962,0.000000000,0.000000000,0.003237675
01013,36030,FOREST HOME,AL,0.031853441,0.018292683,0.000000000,0.029948492
01013,36474,RED LEVEL,AL,0.000495131,0.000000000,0.000000000,0.000441501
01013,36456,MC KENZIE,AL,0.066100017,0.018292683,0.077160494,0.062325239
01013,36037,GREENVILLE,AL,0.654728503,0.871951220,0.376543210,0.666445916
01013,36033,GEORGIANA,AL,0.192853606,0.082752613,0.379629630,0.188005887
01013,36015,CHAPMAN,AL,0.000000000,0.000871080,0.000000000,0.000073584
01013,36042,HONORAVILLE,AL,0.028635088,0.003484321,0.000000000,0.025827815
01013,36032,FORT DEPOSIT,AL,0.021703251,0.004355401,0.166666667,0.023693893
01015,35096,LINCOLN,AL,0.002616559,0.000440917,0.000000000,0.002377525
01015,36204,ANNISTON,AL,0.010739394,0.010875955,0.000689180,0.010563923
01015,36253,BYNUM,AL,0.000000000,0.000293945,0.000000000,0.000025703
01015,36279,WELLINGTON,AL,0.020472418,0.005291005,0.004135079,0.018840282
01015,36277,WEAVER,AL,0.039837831,0.007201646,0.016540317,0.036549632
01015,36202,ANNISTON,AL,0.029270958,0.065108760,0.001378360,0.031884542
01015,36260,EASTABOGA,AL,0.021349397,0.008083480,0.003445899,0.019855549
01015,36250,ALEXANDRIA,AL,0.030521730,0.027924750,0.031013094,0.030303809
01015,36206,ANNISTON,AL,0.082953549,0.066725456,0.078566506,0.081452732
01015,36201,ANNISTON,AL,0.166740946,0.291887125,0.134390076,0.177080656
01015,36205,ANNISTON,AL,0.014577972,0.015285126,0.046175052,0.015229014
01015,36272,PIEDMONT,AL,0.073723709,0.065402704,0.057891110,0.072700869
01015,36257,DE ARMANVILLE,AL,0.006095720,0.002204586,0.000689180,0.005654655
01015,35905,GADSDEN,AL,0.005031844,0.002792475,0.001378360,0.004767902
01015,36271,OHATCHEE,AL,0.051166669,0.015726044,0.008270159,0.047267774
01015,36254,CHOCCOLOCCO,AL,0.000000000,0.000146972,0.000000000,0.000012851
01015,36265,JACKSONVILLE,AL,0.163362422,0.082304527,0.208821502,0.157122295
01015,36203,OXFORD,AL,0.125034145,0.207818930,0.204686423,0.133758289
01015,36207,ANNISTON,AL,0.156504737,0.124485597,0.201929704,0.154551997
01017,36801,OPELIKA,AL,0.008168425,0.001342282,0.002604167,0.007619981
01017,36276,WADLEY,AL,0.010307775,0.004697987,0.000000000,0.009758923
01017,36855,FIVE POINTS,AL,0.050712306,0.019463087,0.033854167,0.048349004
01017,36850,CAMP HILL,AL,0.009675694,0.005369128,0.005208333,0.009313310
01017,36879,WAVERLY,AL,0.017503768,0.007382550,0.007812500,0.016665924
01017,36274,ROANOKE,AL,0.019205523,0.014765101,0.013020833,0.018804866
01017,36862,LAFAYETTE,AL,0.179219137,0.194630872,0.291666667,0.182166570
01017,36863,LANETT,AL,0.352652307,0.380536913,0.398437500,0.355287198
01017,36852,CUSSETA,AL,0.016823066,0.016107383,0.010416667,0.016665924
01017,36854,VALLEY,AL,0.335731998,0.355704698,0.236979167,0.335368299
01019,35901,GADSDEN,AL,0.002121084,0.003070624,0.000000000,0.002146893
01019,35903,GADSDEN,AL,0.003151324,0.001023541,0.000000000,0.002994350
01019,36275,SPRING GARDEN,AL,0.000000000,0.001023541,0.000000000,0.000056497
01019,35967,FORT PAYNE,AL,0.012181080,0.006141249,0.000000000,0.011694915
01019,35983,LEESBURG,AL,0.142779226,0.112589560,0.108108108,0.140677966
01019,36272,PIEDMONT,AL,0.097388037,0.036847492,0.036036036,0.093276836
01019,35961,COLLINSVILLE,AL,0.018907945,0.009211873,0.000000000,0.018135593
01019,35973,GAYLESVILLE,AL,0.107569238,0.027635619,0.022522523,0.102090395
01019,35960,CENTRE,AL,0.390946003,0.717502559,0.590090090,0.411468927
01019,35984,MENTONE,AL,0.013514332,0.000000000,0.027027027,0.012937853
01019,35959,CEDAR BLUFF,AL,0.211441731,0.084953941,0.216216216,0.204519774
01021,35115,MONTEVALLO,AL,0.055838776,0.004771643,0.040697674,0.052940517
01021,35045,CLANTON,AL,0.323920663,0.670756646,0.604651163,0.344748944
01021,35171,THORSBY,AL,0.069220965,0.036809816,0.058139535,0.067372042
01021,36790,STANTON,AL,0.005575912,0.002044990,0.000000000,0.005346394
01021,36006,BILLINGSLEY,AL,0.009797674,0.005453306,0.023255814,0.009645942
01021,36750,MAPLESVILLE,AL,0.065118687,0.045671438,0.058139535,0.064007178
01021,36758,PLANTERSVILLE,AL,0.010673889,0.006134969,0.000000000,0.010356302
01021,36792,RANDOLPH,AL,0.011271308,0.004089980,0.000000000,0.010804950
01021,36091,VERBENA,AL,0.086108013,0.037491479,0.040697674,0.083149512
01021,35040,CALERA,AL,0.022263820,0.005453306,0.034883721,0.021422963
01021,35085,JEMISON,AL,0.192090170,0.108384458,0.087209302,0.186824691
01021,36051,MARBURY,AL,0.012267007,0.002726653,0.000000000,0.011664860
01021,36793,LAWLEY,AL,0.005257289,0.004089980,0.011627907,0.005234232
01021,35035,BRIERFIELD,AL,0.000079656,0.000000000,0.000000000,0.000074775
01021,35046,CLANTON,AL,0.130516170,0.066121336,0.040697674,0.126406700
01023,36915,NEEDHAM,AL,0.053159478,0.013409962,0.054054054,0.050732279
01023,36916,PENNINGTON,AL,0.044257773,0.036398467,0.000000000,0.043585237
01023,36913,MELVIN,AL,0.003510532,0.005747126,0.000000000,0.003632103
01023,36910,JACHIN,AL,0.005516550,0.003831418,0.000000000,0.005389572
01023,36904,BUTLER,AL,0.299774323,0.618773946,0.756756757,0.321265378
01023,36922,WARD,AL,0.045887663,0.011494253,0.000000000,0.043585237
01023,36912,LISMAN,AL,0.145687061,0.019157088,0.027027027,0.137434095
01023,36908,GILBERTOWN,AL,0.154839519,0.141762452,0.162162162,0.154071470
01023,36558,MILLRY,AL,0.016675025,0.009578544,0.000000000,0.016168717
01023,36921,TOXEY,AL,0.084503511,0.049808429,0.000000000,0.082015231
01023,36919,SILAS,AL,0.146188566,0.090038314,0.000000000,0.142120680
01025,36545,JACKSON,AL,0.364278368,0.413109756,0.416666667,0.369133741
01025,36727,CAMPBELL,AL,0.008776140,0.000000000,0.007246377,0.008038088
01025,36436,DICKINSON,AL,0.021117587,0.005335366,0.003623188,0.019538737
01025,36751,LOWER PEACH TREE,AL,0.006033596,0.000000000,0.000000000,0.005441167
01025,36524,COFFEEVILLE,AL,0.051011313,0.028201220,0.018115942,0.048599518
01025,36540,GAINESTOWN,AL,0.037778540,0.005335366,0.000000000,0.034501948
01025,36784,THOMASVILLE,AL,0.276722660,0.394054878,0.369565217,0.287825388
01025,36446,FULTON,AL,0.000000000,0.001524390,0.000000000,0.000123663
01025,36451,GROVE HILL,AL,0.188069935,0.140243902,0.181159420,0.184072219
01025,36482,WHATLEY,AL,0.046211862,0.012195122,0.003623188,0.042725530
01027,35082,HOLLINS,AL,0.000000000,0.002564103,0.000000000,0.000092464
01027,36258,DELTA,AL,0.076515597,0.112820513,0.008658009,0.076375405
01027,36256,DAVISTON,AL,0.003629586,0.002564103,0.000000000,0.003513638
01027,36276,WADLEY,AL,0.015205023,0.015384615,0.000000000,0.014886731
01027,36251,ASHLAND,AL,0.355405140,0.456410256,0.813852814,0.368839575
01027,36255,CRAGFORD,AL,0.071120267,0.033333333,0.000000000,0.068238558
01027,35160,TALLADEGA,AL,0.048656072,0.000000000,0.004329004,0.045954693
01027,36266,LINEVILLE,AL,0.328624681,0.343589744,0.173160173,0.325843736
01027,35072,GOODWATER,AL,0.097312144,0.030769231,0.000000000,0.092834027
01027,36267,MILLERVILLE,AL,0.000000000,0.002564103,0.000000000,0.000092464
01027,36268,MUNFORD,AL,0.003531489,0.000000000,0.000000000,0.003328710
01029,36269,MUSCADINE,AL,0.094000892,0.028099174,0.042372881,0.089258075
01029,36262,FRUITHURST,AL,0.102475468,0.077685950,0.050847458,0.100299247
01029,36258,DELTA,AL,0.047056200,0.038016529,0.042372881,0.046434836
